question_id,question_text,reasoning_path,gold_answer,difficulty,domain,question_type
2-HOP_TEAM_COUNTRY_051,suat mamat'ın oynadığı takımın ülkesi neresidir?,suat mamat -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_052,burak ozsarac'ın oynadığı takımın ülkesi neresidir?,burak ozsarac -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_053,Cem Can'ın oynadığı takımın ülkesi neresidir?,Cem Can -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_054,ahmet aras'ın oynadığı takımın ülkesi neresidir?,ahmet aras -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_055,Mehmet Tas'ın oynadığı takımın ülkesi neresidir?,Mehmet Tas -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_056,Saffet Gurur Yazar'ın oynadığı takımın ülkesi neresidir?,Saffet Gurur Yazar -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_057,Serol Demirhan'ın oynadığı takımın ülkesi neresidir?,Serol Demirhan -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_058,Gunduz Kilic'ın oynadığı takımın ülkesi neresidir?,Gunduz Kilic -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_059,Ercument Kafkasyali'ın oynadığı takımın ülkesi neresidir?,Ercument Kafkasyali -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_060,erhan aydın'ın oynadığı takımın ülkesi neresidir?,erhan aydın -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_061,erhan kuşkapan'ın oynadığı takımın ülkesi neresidir?,erhan kuşkapan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_062,Evren Erdeniz'ın oynadığı takımın ülkesi neresidir?,Evren Erdeniz -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_063,Sidney Cristiano Dos Santos'ın oynadığı takımın ülkesi neresidir?,Sidney Cristiano Dos Santos -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_064,hurriyet gucer'ın oynadığı takımın ülkesi neresidir?,hurriyet gucer -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_065,Firat Akkoyun'ın oynadığı takımın ülkesi neresidir?,Firat Akkoyun -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_066,tevfik köse'ın oynadığı takımın ülkesi neresidir?,tevfik köse -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_067,Hasan Yigit'ın oynadığı takımın ülkesi neresidir?,Hasan Yigit -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_068,jabá'ın oynadığı takımın ülkesi neresidir?,jabá -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_069,Ferdi Elmas'ın oynadığı takımın ülkesi neresidir?,Ferdi Elmas -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_070,Muhammet Reis'ın oynadığı takımın ülkesi neresidir?,Muhammet Reis -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_071,Wederson Luis da Silva Medeiros'ın oynadığı takımın ülkesi neresidir?,Wederson Luis da Silva Medeiros -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_072,Galip Güzel'ın oynadığı takımın ülkesi neresidir?,Galip Güzel -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_073,musa cagiran'ın oynadığı takımın ülkesi neresidir?,musa cagiran -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_074,anil tasdemir'ın oynadığı takımın ülkesi neresidir?,anil tasdemir -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_075,Hakan Arıkan'ın oynadığı takımın ülkesi neresidir?,Hakan Arıkan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_076,ahmet yıldırım'ın oynadığı takımın ülkesi neresidir?,ahmet yıldırım -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_077,Muhammet Hanifi Yoldaş'ın oynadığı takımın ülkesi neresidir?,Muhammet Hanifi Yoldaş -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_078,Bilal Aziz Ozer'ın oynadığı takımın ülkesi neresidir?,Bilal Aziz Ozer -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_079,mehmet cakir'ın oynadığı takımın ülkesi neresidir?,mehmet cakir -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_080,Ramazan Kahya'ın oynadığı takımın ülkesi neresidir?,Ramazan Kahya -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_081,Serdar Guenes'ın oynadığı takımın ülkesi neresidir?,Serdar Guenes -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_082,Gokhan Unal'ın oynadığı takımın ülkesi neresidir?,Gokhan Unal -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_083,Necati Ates'ın oynadığı takımın ülkesi neresidir?,Necati Ates -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_084,baki mercimek'ın oynadığı takımın ülkesi neresidir?,baki mercimek -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_085,ersen martin'ın oynadığı takımın ülkesi neresidir?,ersen martin -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_086,Dilaver Güçlü'ın oynadığı takımın ülkesi neresidir?,Dilaver Güçlü -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_087,Berkay Can Degirmencioglu'ın oynadığı takımın ülkesi neresidir?,Berkay Can Degirmencioglu -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_088,serkan atak'ın oynadığı takımın ülkesi neresidir?,serkan atak -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_089,kenan şahin (footballer)'ın oynadığı takımın ülkesi neresidir?,kenan şahin (footballer) -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_090,bilal gülden'ın oynadığı takımın ülkesi neresidir?,bilal gülden -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_091,bilal kisa'ın oynadığı takımın ülkesi neresidir?,bilal kisa -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_092,Mehmet Guven'ın oynadığı takımın ülkesi neresidir?,Mehmet Guven -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_093,orhan ak'ın oynadığı takımın ülkesi neresidir?,orhan ak -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_094,Can Erdem'ın oynadığı takımın ülkesi neresidir?,Can Erdem -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_095,Erhan Albayrak'ın oynadığı takımın ülkesi neresidir?,Erhan Albayrak -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_096,Caner Ağca'ın oynadığı takımın ülkesi neresidir?,Caner Ağca -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_097,musa büyük'ın oynadığı takımın ülkesi neresidir?,musa büyük -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_098,tayfun turkmen'ın oynadığı takımın ülkesi neresidir?,tayfun turkmen -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_099,Uğur Demirok'ın oynadığı takımın ülkesi neresidir?,Uğur Demirok -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_100,Murat Akyuez'ın oynadığı takımın ülkesi neresidir?,Murat Akyuez -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_101,umut sozen'ın oynadığı takımın ülkesi neresidir?,umut sozen -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_102,Ediz Bahtiyaroglu'ın oynadığı takımın ülkesi neresidir?,Ediz Bahtiyaroglu -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_103,koray colgecen'ın oynadığı takımın ülkesi neresidir?,koray colgecen -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_104,emre aktaş'ın oynadığı takımın ülkesi neresidir?,emre aktaş -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_105,Emre Turan'ın oynadığı takımın ülkesi neresidir?,Emre Turan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_106,Eren Aydin'ın oynadığı takımın ülkesi neresidir?,Eren Aydin -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_107,evren özyiğit'ın oynadığı takımın ülkesi neresidir?,evren özyiğit -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_108,goksu turkdogan'ın oynadığı takımın ülkesi neresidir?,goksu turkdogan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_109,Burak Kardeş'ın oynadığı takımın ülkesi neresidir?,Burak Kardeş -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_110,tolga doğantez'ın oynadığı takımın ülkesi neresidir?,tolga doğantez -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_111,Burak Altiparmak'ın oynadığı takımın ülkesi neresidir?,Burak Altiparmak -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_112,Mustafa Reşit Akçay'ın oynadığı takımın ülkesi neresidir?,Mustafa Reşit Akçay -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_113,serdar deliktaş'ın oynadığı takımın ülkesi neresidir?,serdar deliktaş -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_114,huseyin kartal'ın oynadığı takımın ülkesi neresidir?,huseyin kartal -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_115,Muhammed Bayir'ın oynadığı takımın ülkesi neresidir?,Muhammed Bayir -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_116,çağlayan alpsatan'ın oynadığı takımın ülkesi neresidir?,çağlayan alpsatan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_117,huseyin yogurtcu'ın oynadığı takımın ülkesi neresidir?,huseyin yogurtcu -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_118,volkan arslan'ın oynadığı takımın ülkesi neresidir?,volkan arslan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_119,kerem şeras'ın oynadığı takımın ülkesi neresidir?,kerem şeras -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_120,Ozgur Cek'ın oynadığı takımın ülkesi neresidir?,Ozgur Cek -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_121,Mahmut Akan'ın oynadığı takımın ülkesi neresidir?,Mahmut Akan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_122,Lokman Gör'ın oynadığı takımın ülkesi neresidir?,Lokman Gör -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_123,Mahmut Boz'ın oynadığı takımın ülkesi neresidir?,Mahmut Boz -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_124,hakan canbazoglu'ın oynadığı takımın ülkesi neresidir?,hakan canbazoglu -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_125,Murat Erdoğan'ın oynadığı takımın ülkesi neresidir?,Murat Erdoğan -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_126,Mustafa Keçeli'ın oynadığı takımın ülkesi neresidir?,Mustafa Keçeli -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_127,Umut Nayir'ın oynadığı takımın ülkesi neresidir?,Umut Nayir -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_128,numan çürüksu'ın oynadığı takımın ülkesi neresidir?,numan çürüksu -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_129,yusuf simsek'ın oynadığı takımın ülkesi neresidir?,yusuf simsek -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_130,Ramazan Kurşunlu'ın oynadığı takımın ülkesi neresidir?,Ramazan Kurşunlu -> member of sports team -> buyuksehir belediye ankaraspor -> country -> turkiye,turkiye,2-hop,sports,team_country
