question_type,question,answer,reasoning_path
pattern_a_team_country,Which country is the team of Serdar Gürler in?,turkiye,Serdar Gürler --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ali olmez in?,turkiye,ali olmez --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of sezer badur in?,turkiye,sezer badur --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of bulent bal in?,turkiye,bulent bal --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of bülent ertuğrul in?,turkiye,bülent ertuğrul --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of erhan namlı in?,turkiye,erhan namlı --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Erman Öncü in?,turkiye,Erman Öncü --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ertugrul arslan in?,turkiye,ertugrul arslan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Feridun Sungur in?,turkiye,Feridun Sungur --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Arif Şahin in?,turkiye,Arif Şahin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of sinan ozkan in?,turkiye,sinan ozkan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of atilla yıldırım in?,turkiye,atilla yıldırım --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of guven guneri in?,turkiye,guven guneri --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Serdar Ozkan in?,turkiye,Serdar Ozkan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of berk yıldız in?,turkiye,berk yıldız --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Hasan Ozer in?,turkiye,Hasan Ozer --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Kemal Ozdes in?,turkiye,Kemal Ozdes --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of erman kılıç in?,turkiye,erman kılıç --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Tanju Kayhan in?,turkiye,Tanju Kayhan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Korhan Ozturk in?,turkiye,Korhan Ozturk --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Taner Yalcin in?,turkiye,Taner Yalcin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Muharrem Uz in?,turkiye,Muharrem Uz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of murat selvi in?,turkiye,murat selvi --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of noyan öz in?,turkiye,noyan öz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Oktay Kuday in?,turkiye,Oktay Kuday --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Deniz Yılmaz in?,turkiye,Deniz Yılmaz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mehmet cakir in?,turkiye,mehmet cakir --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of atacan ozturk in?,turkiye,atacan ozturk --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Taner Demirbas in?,turkiye,Taner Demirbas --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of serdar ozbayraktar in?,turkiye,serdar ozbayraktar --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Onur Ayık in?,turkiye,Onur Ayık --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Batuhan Karadeniz in?,turkiye,Batuhan Karadeniz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Eser Yağmur in?,turkiye,Eser Yağmur --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Murat Kalkan in?,turkiye,Murat Kalkan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of kenan şahin (footballer) in?,turkiye,kenan şahin (footballer) --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Birol Hikmet in?,turkiye,Birol Hikmet --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Orkun Uşak in?,turkiye,Orkun Uşak --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of orhan ak in?,turkiye,orhan ak --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ismail isa mustafa in?,turkiye,ismail isa mustafa --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of egemen korkmaz in?,turkiye,egemen korkmaz --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Enes Kubat in?,turkiye,Enes Kubat --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Efecan Karaca in?,turkiye,Efecan Karaca --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Uğur Demirok in?,turkiye,Uğur Demirok --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of emrah eren in?,turkiye,emrah eren --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Semih Kaya in?,turkiye,Semih Kaya --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ethem pülgir in?,turkiye,ethem pülgir --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of yaser yildiz in?,turkiye,yaser yildiz --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of fatih şen in?,turkiye,fatih şen --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Zafer Cevik in?,turkiye,Zafer Cevik --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of kaya tarakcı in?,turkiye,kaya tarakcı --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of uğur yılmaz in?,turkiye,uğur yılmaz --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of halil zeybek in?,turkiye,halil zeybek --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mehmet gurkan ozturk in?,turkiye,mehmet gurkan ozturk --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of haydar yılmaz in?,turkiye,haydar yılmaz --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Cem Tosun in?,turkiye,Cem Tosun --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Fahri Tatan in?,turkiye,Fahri Tatan --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Mehmet Uslu in?,turkiye,Mehmet Uslu --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Muhammed Türkmen in?,turkiye,Muhammed Türkmen --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of olgay coskun in?,turkiye,olgay coskun --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of oğuz dağlaroğlu in?,turkiye,oğuz dağlaroğlu --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of emrullah güvenç in?,turkiye,emrullah güvenç --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of volkan demirel in?,turkiye,volkan demirel --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of serkan ozsoy in?,turkiye,serkan ozsoy --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ugur akdemir in?,turkiye,ugur akdemir --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of erman özgür in?,turkiye,erman özgür --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of erdem özgenç in?,turkiye,erdem özgenç --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of yasin celik in?,turkiye,yasin celik --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Murat Onur in?,turkiye,Murat Onur --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ozden onguen in?,turkiye,ozden onguen --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Abdullah Karmil in?,turkiye,Abdullah Karmil --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Iskender Alın in?,turkiye,Iskender Alın --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ayibogan in?,turkiye,Ayibogan --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of adem sari in?,turkiye,adem sari --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Erhan Senturk in?,turkiye,Erhan Senturk --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Cahit Paşa in?,turkiye,Cahit Paşa --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Kürşat Duymuş in?,turkiye,Kürşat Duymuş --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ender Alkan in?,turkiye,Ender Alkan --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of berkin kamil aslan in?,turkiye,berkin kamil aslan --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of olcay çetinkaya in?,turkiye,olcay çetinkaya --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of hasan vezir in?,turkiye,hasan vezir --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Atilla Koca in?,turkiye,Atilla Koca --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,"Which country is the team of Adın, Olcan in?",turkiye,"Adın, Olcan --[member of sports team]--> Kartalspor --[country]--> turkiye"
pattern_a_team_country,Which country is the team of erhan kavak in?,turkiye,erhan kavak --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of rıza şen in?,turkiye,rıza şen --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Oguz Sabankay in?,turkiye,Oguz Sabankay --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of sezer sezgin in?,turkiye,sezer sezgin --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Tayfun Seven in?,turkiye,Tayfun Seven --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of umut kekilli in?,turkiye,umut kekilli --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ugur Erdogan in?,turkiye,Ugur Erdogan --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of yağız göktuğ taşbulak in?,turkiye,yağız göktuğ taşbulak --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Volkan Ekici in?,turkiye,Volkan Ekici --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,"Which country is the team of selçuk şahin (footballer, born 1983) in?",turkiye,"selçuk şahin (footballer, born 1983) --[member of sports team]--> Kartalspor --[country]--> turkiye"
pattern_a_team_country,Which country is the team of yavuz özkan (footballer) in?,turkiye,yavuz özkan (footballer) --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mahmut ertugrul taskiran in?,turkiye,mahmut ertugrul taskiran --[member of sports team]--> Kartalspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Irfan Buz in?,turkiye,Irfan Buz --[member of sports team]--> i̇stanbul maltepespor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Senyil Mehmet Kutay in?,turkiye,Senyil Mehmet Kutay --[member of sports team]--> i̇stanbul maltepespor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Bülent Uzun in?,turkiye,Bülent Uzun --[member of sports team]--> i̇stanbul maltepespor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Aykut Akgün in?,turkiye,Aykut Akgün --[member of sports team]--> i̇stanbul maltepespor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Engin Baytar in?,turkiye,Engin Baytar --[member of sports team]--> i̇stanbul maltepespor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mehmet budak in?,turkiye,mehmet budak --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Fatih Ozturk Trabzonspor in?,turkiye,Fatih Ozturk Trabzonspor --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of emre toraman in?,turkiye,emre toraman --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Emrullah Salk in?,turkiye,Emrullah Salk --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of evren özyiğit in?,turkiye,evren özyiğit --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of kâmil altan in?,turkiye,kâmil altan --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of volkan arslan in?,turkiye,volkan arslan --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of mehmet aksu in?,turkiye,mehmet aksu --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Okan Salmaz in?,turkiye,Okan Salmaz --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of sezgin coskun in?,turkiye,sezgin coskun --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Soner Ornek in?,turkiye,Soner Ornek --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of ali beratlıgil in?,turkiye,ali beratlıgil --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of murat gürbüzerol in?,turkiye,murat gürbüzerol --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Hasan Ali Durtuluk in?,turkiye,Hasan Ali Durtuluk --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of İlyas Kahraman in?,turkiye,İlyas Kahraman --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of güven cavus in?,turkiye,güven cavus --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ender Günlü in?,turkiye,Ender Günlü --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ahmet Dursun in?,turkiye,Ahmet Dursun --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of ahmet saglam in?,turkiye,ahmet saglam --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of Furkan Aydin in?,turkiye,Furkan Aydin --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_a_team_country,Which country is the team of altan aksoy in?,turkiye,altan aksoy --[member of sports team]--> eyüp sk --[country]--> turkiye
pattern_b_team_city,In which city is the team of egemen korkmaz headquartered?,istanbul (turkey),egemen korkmaz --[member of sports team]--> Kartalspor --[headquarters location]--> istanbul (turkey)
pattern_b_team_city,In which city is the team of Enes Kubat headquartered?,istanbul (turkey),Enes Kubat --[member of sports team]--> Kartalspor --[headquarters location]--> istanbul (turkey)
pattern_b_team_city,In which city is the team of mehmet budak headquartered?,istanbul (turkey),mehmet budak --[member of sports team]--> eyüp sk --[headquarters location]--> istanbul (turkey)
pattern_b_team_city,In which city is the team of Fatih Ozturk Trabzonspor headquartered?,istanbul (turkey),Fatih Ozturk Trabzonspor --[member of sports team]--> eyüp sk --[headquarters location]--> istanbul (turkey)
pattern_c_team_home_venue,What is the home venue of the team of Bulut Basmaz?,elazığ atatürk stadium,Bulut Basmaz --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of i̇lker erbay?,elazığ atatürk stadium,i̇lker erbay --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Yunus Altun?,elazığ atatürk stadium,Yunus Altun --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of deniz aslan?,elazığ atatürk stadium,deniz aslan --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Murat Kayalı?,elazığ atatürk stadium,Murat Kayalı --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of gokhan emreciksin?,elazığ atatürk stadium,gokhan emreciksin --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
