entity_id,name,description
Q1021872,great unity party,"The Great Unity Party (Turkish: Büyük Birlik Partisi, BBP) or Great Union Party is a far-right Islamist and nationalist political party in Turkey, created on 29 January 1993. It is considered to be close to the Grey Wolves  organization, and is related to the ""Alperen Ocakları"" tendency, which operated a synthesis between cultural nationalism and Islamism, and separated itself from the Nationalist Task Party (MÇP), which was renamed to Nationalist Movement Party (MHP) in July 1992.Although it is claimed that the founder of the party Muhsin Yazıcıoğlu left the MHP for lack of religious convictions, this should be seen rather as a speculation as Muhsin Yazıcıoğlu rarely blamed the MHP or talked about the separation. The rift between Muhsin Yazıcıoğlu and Alparslan Türkeş actually had started after 1980 Turkish coup d'état. Alparslan Türkeş defended himself in the infamous speech in which he declared ""My opinions and beliefs are of the same as the generals who organized the 1980 Turkish coup d'état, yet I am in prison"" speech during trials after the coup. The ideological separation started then and reached the surface after Alparslan Türkeş dismissed the Ankara headquarters of the MHP after the 1992 MHP Congress. The delegates had elected the candidate that Muhsin Yazıcıoğlu supported rather than the one Alparslan Türkeş had supported. Türkeş's dismissal, seen to show an anti-democratic approach, was the final blow to the relationship between the young clique who had suffered during the 1980 coup and were against anything anti-democratic, and the old clique which circled around Alparslan Türkeş and believed in a nationalist-socialistic way of democracy.The party has been represented in the Parliament only via electoral coalitions with popular parties. At the 2002 legislative elections, the party won 1.1% of the popular vote and no seats; in the 2007 elections Muhsin Yazıcıoğlu was elected as an independent. In 2009 local elections the BBP's candidate was elected as the new mayor of Sivas."
Q1023265,"Keban (District), Elazig","Keban is a town and district of Elazığ Province of Turkey. The mayor is Fethiye Atlı (AKP). The population is 4857.Keban is at the west of Elazığ Province and 46 km. far away from province center. At the east of Keban, there is Elazığ Province. At west, Arapgir District of Malatya Province, at north there  is Çemişgezek District of Tunceli Province, at northwest, Ağın District, at south, Baskil province. There is the second biggest dam of Turkey, Keban Dam."
Q1025421,koesk,"Köşk is a district in Aydın Province, Aegean Region, Turkey. Köşk is a noun in Turkish and refers to an ornate wooden mansion, smaller than a palace."
Q1026493,brave woman,"Salve Jorge (Literally: Hail George, International title: English: Brave Woman) is a Brazilian primetime telenovela created by Glória Perez and directed by Marcos Schechtman.It premiered on 22 October 2012 replacing Avenida Brasil and ended on 17 May 2013 on Rede Globo at the 9 p.m. timeslot, and being followed by Amor à Vida.A total of 179 episodes of 55 minutes (35 minutes on Wednesdays due the 2012–2013 Football season broadcast) were produced and aired Mondays to Saturdays. However, when syndicated and sold to other countries the telenovela got the number of episodes reduced to 140 and the duration fixed at 45 minutes.Starring Nanda Costa, Giovanna Antonelli, Carolina Dieckmann, Rodrigo Lombardi, Cláudia Raia, Flávia Alessandra, Alexandre Nero,Cléo Pires and Domingos Montagner."
Q1027176,"Kale, Malatya","Kale, (Kurdish: Qela or Îzolî‎), is a district of Malatya Province of Turkey. The mayor is Cemal Akdemir (AKP).The old name ""İzollu"" is no longer used, although it is still known locally by that name. Tribal people of the area identify themselves as Izol. The district's population is mostly of Sunni Kurdish origin. Its new name, Kale, which means ""castle"", came from an old castle in the district. It is the richest and the lushest district of Malatya. Remains of the Karakaya Dam under the tumulus Pirot are shown in the region since ancient times.Kale's population is about 4,000, dispersed throughout the district. The basic livelihoods of the town are strawberry production and animal husbandry. Districts already connected to the center of a region, while the 1990 has earned the status of the county by law."
Q102805,Tufan Tosunoglu,Tufan Tosunoğlu (born 22 July 1988) is a Turkish footballer who plays for SVN Zweibrücken.
Q1030570,Mustafa Saymak,Mustafa Saymak (born 11 February 1993) is a Dutch professional footballer of Turkish descent who currently plays as a winger for Turkish Süper Lig club Çaykur Rizespor. He has represented both the Turkish Football Federation and Royal Dutch Football Association at various youth levels.
Q1031843,arat can,Can Arat (born 21 January 1984) is an Armenian-Turkish footballer. He currently plays as a center back for Sarıyer.
Q1031846,Can Bartu,Can Bartu (31 January 1936 – 11 April 2019) was a Turkish basketball and football player. He was also a sports journalist before his death.
Q1033114,Caner Ağca,Caner Ağca (born 28 October 1984 in Turkey) is a Turkish professional football player who currently plays for Karşıyaka S.K..
Q1033654,cansu yağ,"Cansu Yağ (born June 22, 1990) is a Turkish women's football midfielder currently playing in the Turkish Women's First Football League for Konak Belediyespor in İzmir with jersey number 10. She was admitted to the Turkey women's national football team in 2006 after playing for the national U-15, U-17 and U-19 teams."
Q1033926,arabesk (film),Arabesk is a 1989 Turkish comedy film directed by Ertem Eğilmez. The film was Eğilmez's last before his death and caused controversy in Turkey for its attacks on Turkish pseudo-intellectuals.
Q10380495,attila sekerlioglu,"Attila Sekerlioglu (born January 27, 1965 in Vienna) is a retired Austrian footballer of Turkish descent. He played in midfield. After retiring, he moved into management. He has most recently been manager of Austrian club SV Stockerau. He is now a scout for Bayern Munich."
Q10382469,musa büyük,"Musa Büyük (born May 22, 1980) is a Turkish retired footballer. He played as a winger. He played for Zeytinburnuspor (1996–2003), İstanbulspor (2003–2004), Ankaraspor (2005–2006), Trabzonspor (2006–2008) and Kocaelispor (2008–2009). He was capped three times for the Turkey B."
Q10397035,gürol gündüz azer,Gündüz Gürol Azer (born 4 February 1980 in Istanbul) is a Turkish footballer who plays for Giresunspor in the TFF First League.He previously played fullback for Çaykur Rizespor and Sivasspor in the Turkcell Super League.
Q10397103,Mehmet Yilmaz (defender),Mehmet Yılmaz (born 26 March 1988 in Bursa) is a Turkish footballer who plays as central defender for Kızılcahamamspor.
Q10397140,mehmet budak,"Mehmet Budak (born August 1, 1980 in Doğanşehir, Turkey) is a Turkish footballer. He last played as a winger for 68 Yeni Aksarayspor."
Q10397239,Mustafa Duruer,"Mustafa Duruer (born January 15, 1988 in Gerede, Bolu Province) is a Turkish football player. He currently plays for Bugsaşspor in the TFF Second League. He is the twin brother of Murat Duruer."
Q10427256,tayfun turkmen,"Tayfun Türkmen  (born 12 April 1978) is a Turkish former football player.Although he could also play as a central defender, Tayfun was renowned primarily as a centre forward."
Q10429658,hasan sonmez,"Hasan Sönmez (born September 27, 1976 in İznik, Bursa, Turkey) is a retired Turkish footballer. He played for seven different clubs throughout his career, including Gençlerbirliği, Trabzonspor  and Kayserispor. He finished his career with Iznikspor in 2011–12, the same team he started his career with in 1994."
Q10433603,Hasan Okan Gültang,Hasan Okan Gültang (born 29 October 1972) is a former Turkish footballer and later football coach.He played his only cap for Turkey against Israel on 8 March 1995.
Q10433617,mutlu topcu,Mutlu Topçu (born 16 November 1970 in Bursa) is a former Turkish footballer.He played his first game for Turkey against Iceland on 12 October 1994.
Q10434601,i̇lker erbay,İlker Erbay (born 14 June 1984 in İstanbul) is a Turkish footballer who plays for Kayseri Erciyesspor in the TFF First League.
Q10437767,ersin gureler,"Ersin Güreler (born September 7, 1978 in İstanbul, Turkey), is a Turkish retired footballer. He played as a left back position. Ersin was very attack-minded for a full-back.He is a traveller of Turkish Football who already has worn jersey of 12 different teams during his career."
Q10442838,ömer közen,"Ömer Közen (born 21 August 1981 in Istanbul), is a Turkish footballer."
Q1046578,mübariz mansimov,"Mübariz Mansimov (Azerbaijani: Mübariz Mənsimov, legally Mübariz Gurbanoğlu; born March 22, 1968) is an Azerbaijani-born entrepreneur and the founder of Palmali Group of Companies, a major shipping company, as well of the Azerbaijani football club Khazar Lankaran. He became a naturalized Turkish citizen in 2006. He is currently listed on Forbes list of billionaires, the youngest billionaire in Turkey as of March 1, 2009. He has invested heavily in Turkey and owns Palmarina Yalikavak, which often has many of the world's billionaires accumulate here."
Q1048276,uska dara,"Uska Dara (A Turkish Tale) is a 1953 song made famous by Eartha Kitt, also recorded by Eydie Gormé. It is based on the Turkish folk song Kâtibim about a woman and her secretary traveling to Üsküdar. On early recordings, this adaptation is credited to Stella Lee.Eartha Kitt recorded it with Henri René and his orchestra at Manhattan Center, New York City, on March 13, 1953. The song was released by RCA Victor Records as catalog number 20-5284 (in USA) and by EMI on the His Master's Voice label as catalog number B 10573. Kitt's recording sold 120,000 copies when it was first released by RCA Victor in 1953. Kitt later performed the song in the 1954 film New Faces and included the song in her cabaret act, where she culminated the number with a belly dance. The song appears on her albums RCA Victor Presents Eartha Kitt (1953) and That Bad Eartha (1955).The 1978 disco song ""Rasputin"" by Boney M uses part of the melody of ""Kâtibim"", and mimics the line ""Oh! those Turks"" (as ""Oh! those Russians"") at the end of the song."
Q1050148,Maslak,"Maslak is one of the main business districts of Sarıyer, Istanbul, Turkey, located on the European side of the city. It was formerly an exclave of the municipality of Şişli, though being far north and actually closer to the municipalities of Sarıyer and Beşiktaş. Therefore, a legislation was approved by the Interior Commission of the Turkish Parliament on October 18, 2012, that shifted the jurisdiction of the Maslak district from Şişli to Sarıyer.Maslak is in direct competition with the nearby Levent business district for new skyscraper projects. At present, the tallest completed skyscraper in Maslak is the 47-floor Spine Tower which reaches a structural height of 202 meters; while the tallest skyscraper currently under construction in Maslak (as well as Istanbul and the rest of Turkey) is the Diamond of Istanbul, which comprises three centrally-connected towers, the tallest of which will have 53 floors above ground and will reach a structural height of 270 meters (thus surpassing the current tallest completed skyscraper in Istanbul, the 54-floor, 261 meters tall Istanbul Sapphire in the nearby Levent business district.) The Diamond of Istanbul will also be the first steel skyscraper in Turkey, where (as opposed to the situation in the United States) constructing with steel costs more than constructing with concrete. The reason for choosing steel was its relative strength in resisting earthquakes (Istanbul is located along an active fault), whereas concrete is more fire-resistant.The stations İTÜ-Ayazağa and Atatürk Oto Sanayi along the M2 line of the Istanbul Metro serve the Maslak business district and its surrounding neighbourhoods."
Q10507034,Yunus Altun,"Yunus Altun (born 25 August 1977 in Eyüp, Istanbul, Turkey) is a Turkish former professional footballer. He played as a striker.."
Q10511347,i̇brahim türkkan,"İbrahim Türkkan (born 11 May 1983 in West Berlin, West Germany) is a Turkish footballer."
Q10514257,caner çolak,Caner Çolak (born 30 June 1991) is a Turkish professional footballer who plays as a forward for Serhat Ardahanspor in the Türkiye Bölgesel Amatör Lig 5.Grup.
Q10520658,Ulvi Güveneroğlu,"Ulvi Güveneroğlu (born 26 July 1960) is a Turkish former footballer, columnist and manager. He currently works at Beşiktaş, his former club, as General Coordinator and Youth Team Manager."
Q1052134,Cağaloğlu Anadolu High School,"Istanbul Cağaloğlu Anadolu Lisesi, in Cağaloğlu, İstanbul, is one of the oldest and internationally renowned high schools of Turkey. Istanbul Cağaloğlu Anadolu Lisesi is considered to be an elite public high school in Turkey. The primary languages of instruction are Turkish and German. The secondary foreign language of instruction is English. Germany recognizes the school as a ""Deutsche Auslandsschule"" (German International school).Education is four years after one prep year. Enrollment capacity is 180. The total number of students is 804 in 34 classes with an average class size of 8 to 30. As of December 2012, the high school has five administrative staff and 70 teaching staff. Enrollment is for German language education, nine teachers from Germany are tasked along with eleven experienced Turkish teachers. Graduates obtain a diploma ""Deutsches Sprachdiplom"" (DSD-A2/B1 or B2/C1), which proves German language proficiency required for entry to a college or to study at a university in Germany respectively.Prior to Cağaloglu Anadolu Lisesi the complex in which the school functions used to host Istanbul Kız Lisesi. They also host a Model G20 summit for high school students."
Q1052760,celal atik,"Celal Atik (1920 – 27 April 1979) was a Turkish wrestler and coach. He competed both in Greco-Roman and freestyle wrestling, but had his best achievements in the freestyle, winning gold medals at the 1948 Olympics, 1951 World and 1946 and 1949 European championships.He was born in the village of Gürdan in the Boğazlıyan district of Yozgat Province, Turkey. He changed his family name from ""Doğan"" to ""Atik"" (literally, ""Slippy"") after a proposal by Mustafa Kemal Atatürk, the founder of the Turkish Republic, who noticed his speed at the 1938 national championships.After retiring from competition, from 1955 to 1979 he coached the national wrestling team and prepared multiple international competitors. Appointed the head trainer by the International Wrestling Federation (FILA) in Switzerland, he gave lessons on wrestling techniques to sportspeople from all around the world.He is recognized as one of Turkey's best wrestlers, with exceptional technique as well as the most aesthetic physique. In addition to his other honors, he was awarded with the Légion d'honneur of France.Atik died on 27 April 1979 in a hospital in Ankara. Two sports halls—one in İzmir with a capacity of 1,200 people and another one in his hometown Yozgat—are named after him."
Q10528123,gulcan koca,"Gülcan Koca (born 4 September 1990) is a retired Turkish-Australian women's football defender, who last played for Australian W-League team Melbourne Victory, and for Calder United in the  Football Federation Victoria.She was a member of the Turkey women's national football team from 2010-2013."
Q1053251,Cem Demir,"Cem Demir (born 30 April 1985) is a Turkish footballer who plays for Bugsasspor. He was born in Erzincan.Demir previously played for Trabzonspor, Adana Demirspor and Orduspor."
Q1053252,Cem Can,"Cem Can (pronounced [ˈdʒem ˈdʒan]; born 1 April 1981 in Ankara, Turkey) is a Turkish football player who plays as a midfielder."
Q1053263,cem sultan (footballer),Cem Sultan (born 27 February 1991) is a Turkish footballer who plays as a striker for Zonguldak Kömürspor in the TFF Third League.
Q1053264,Cem Uluğnuyan,"Cem Uluğnuyan (born December 12, 1989) is a Turkish taekwondo practitioner competing in the bantamweight division. He transferred to Ankara PTT S.K. from İzmir Büyükşehir Belediye S.K.Cem Uluğnuyan was a member of the Turkey national team, which became world champion at the 2009 World Cup Team Championships held in Baku, Azerbaijan. He won the bronze medal at the 2009 World Taekwondo Championships held in Copenhagen, Denmark. The same year, he became European champion at the U-21 European Championships held in Vigo, Spain. At the 2010 European Championships held in Saint Petersburg, Russia, he won the bronze medal in bantamweight division."
Q1053268,cem özdemir (footballer),"Cem Özdemir (born 22 July 1992) is a Turkish footballer who plays for Manisa BB.Cem made one appearance for Turkey national under-20 football team, in a 1-0 win over the Ukraine U20s."
Q1053271,Cem Islamoglu,"Cem Islamoglu (born September 4, 1980) is a Turkish-German footballer who plays for SV Waldhof Mannheim."
Q1053329,cemil tosun,Cemil Tosun  (born 6 February 1987 in Vienna) is an Austrian-Turkish footballer currently playing for Wiener SK.
Q1053332,Cem Evi,"A cemevi or cem evi (pronounced and sometimes written as djemevi; meaning literally ""a house of gathering"" in Turkish or more precisely, ""house of [the religious ritual called] cem"") is a place of fundamental importance for Turkey's Alevi-Bektashiyyah tariqa populations and traditions. Alevi organizations such as Hacı Bektaş-ı Veli Anadolu Kültür Vakfı describe cemevis as places of worship, and ask for this to be officially recognized.However, according to the Directorate of Religious Affairs of Turkey, cemevis are not places of worship (because Laïcité in Turkey cannot allow by laws any one of those like Imambargah, Khalwatkhana, Mejlis, Musallah or Tekkes except Sunni and Ja'fari-Shi’ite mosques as Muslim worship places) in the strict sense of the term."
Q1053340,Çemil Turan,Cemil Turan (born 1 January 1947 in Istanbul) is a former Turkish football player and the current Director of Fenerbahçe S.K. Academy.
Q1053395,Cenk Ahmet Alkılıç,Cenk Ahmet Alkılıç (born 9 April 1987 in İzmir) is a Turkish footballer who plays for Süper Lig club Alanyaspor. Cenk Ahmet Alkılıç made his debut in professional football in the year 2006 season as part of the Beylerbeyi squad.
Q1053402,cenk gönen,Cenk Gönen (born 21 February 1988) is a Turkish professional footballer who plays as a goalkeeper for Spanish club Málaga.
Q10557542,ramazan çevik,Ramazan Çevik (born 1 April 1992 in Maaseik) is a Belgian professional footballer of Turkish descent who plays as a winger for Samsunspor.
Q1057881,Ceyhanspor,"Ceyhan Spor Kulübü is a Turkish football club based in Ceyhan, Adana Province. The club has played in Group 1 of the Turkish Third League in 2008–2009 season and was expelled the league by TFF due to fixing match accusation with Mezitlispor in 2008–2009 and relegated to Adana Super Amateur League. They also played old Second League between 1981–1984."
Q1057884,ceyhun yazar,Ceyhun Yazar (born 16 May 1992) is a Turkish football defender who plays for Orhangazispor. He made his Süper Lig debut against Akhisar Belediyespor on 29 September 2012.
Q1058264,Cendere Bridge,"The Severan Bridge (also known as Chabinas Bridge or Cendere Bridge or Septimius Severus Bridge; Turkish: Cendere Köprüsü) is a late Roman bridge located near the ancient city of Arsameia (today Eskikale), 55 km (34 mi) north east of Adıyaman in southeastern Turkey. It spans the Cendere Çayı (Chabinas Creek), a tributary of Kâhta Creek, on provincial road 02-03 from Kâhta to Sincik in Adıyaman Province. This bridge was described and pictured in 1883 by archeologists Osman Hamdi Bey and Osgan Efendi."
Q1059924,2008 uefa european under-17 championship,"The final tournament of the 2008 UEFA European Under-17 Championship was the 26th UEFA European Under-17 Championship, UEFA's premier football tournament for players under the age of 17. The tournament was held in Turkey from 4 May to 16 May 2008. Players born after 1 January 1991 were eligible to participate in this competition."
Q106498,hakki keskin,"Hakkı Keskin (born 12 February 1943 in Maçka, Trabzon, Turkey) is a Turkish-German politician with the Left Party (die Linkspartei), formerly of the Social Democratic Party of Germany (SPD) and a professor of Political Science. He was the first person of Turkish descent to become a member of a German parliament (the Bürgerschaft in Hamburg) and is seen as one of the prominent leaders of the country's Turkish community."
Q106748,seyran ates,"Seyran Ateş (born 20 April 1963) is a German lawyer and Muslim feminist born in Istanbul, Turkey of Kurdish-Turkish descent. Her family moved to Germany when she was six years old. She studied law at the Free University of Berlin and has practiced law since 1997, specializing in criminal law and family law. Ateş, a renowned civil-rights activist, is best known for demanding equal rights for Muslim women and girls.Her views, highly critical of an immigrant Muslim society that is often more conservative than its counterpart in Turkey, have put her at risk. Her German language book Islam needs a sexual revolution was scheduled for publication in Germany in 2009. In an interview in January 2008 on National Public Radio, Ateş stated that she was in hiding and would not be working on Muslim women's behalf publicly (including in court) due to the threats against her. In one particular incident, she and her client were attacked by a woman's husband in a German courthouse in front of onlookers who did nothing.Ms Ates opened the Ibn Ruschd-Goethe mosque in 2017. It's the only liberal mosque in Germany where men and women pray together and women can take the role of imam leading a prayer. The Turkish religious authority and the Egyptian Fatwa Council at the Al-Azhar University have condemned her project and she has received death threats. The fatwa encompassed all present and future liberal mosques.According to Ateş, liberal Muslims do not come forward due to threats and fear."
Q1068171,Tarhuntassa,"Tarhuntassa is a Hittite Bronze Age city in Asia Minor mentioned in Hittite documents. Its location is unknown; various proposed locations include Konya, Rough Cilicia, the Göksu valley, the vicinity of Kayseri, the site of Kilise Tepe (near Mut, formerly known as Maltepe), and Kızıldağ, north of Karaman.Others speculate that Tarhuntassa may be a Kaskan name for the city the Greeks called Troy. Its name means ""City of Tarhunt (the Luwian storm god)"" in the Luwian language, and likely had a Luwian-speaking majority when it was named.In the early 13th century BC, Muwatalli II moved the Hittite capital from Hattusa to Tarhuntassa, officially as the result of an omen. His son Mursili III later moved the capital back to Hattusa. After Hattusili III deposed Mursili, the new king appointed Muwatalli's son Kurunta as king in Tarhuntassa. The treaty which survives mostly refers to the appointed king as ""Ulmi-Tessup"", and so some scholars believe that Ulmi-Tessup and Kurunta are two different rulers of Tarhuntassa.Tudhaliya IV re-ratified Kurunta as king in a treaty inscribed in bronze. At this time, Kurunta was leading his forces to war with Parha. This treaty, unlike previous treaties involving Tarhuntassa, calls to witness the Hittites' vassal kings of Mira and the Seha River Land on the Aegean coast. This implies that Tarhuntassa's stature was now a matter of importance for all western Anatolia.Kurunta later claimed the title of Great King for himself. Whether or not this claim extended to the whole domain of Hatti, the court in Hattusa contested it (and buried the treaty).Toward the end of the Hittite empire, Suppiluliuma II recorded in a Hieroglyphic Luwian inscription that Hatti had attacked and sacked the city of Tarhuntassa. Other Hieroglyphic Luwian inscriptions from the late 13th century BC also mention a certain great king Hartapu, son of the great king Mursili (III), who likely ruled Tarhuntassa. It may be possible that Suppiluliuma II's campaign was directed against Hartapu."
Q1069007,washshukanni,"Washukanni (also spelled Waššukanni or Vasukhani) was the capital of the Hurrian kingdom of Mitanni, from around 1500 BCE to the 13th century BCE. Its precise location is unknown. A proposal locates it under the largely unexcavated mound of Tell el Fakhariya, near Tell Halaf in Syria, but this idea was rejected by Edward Lipinski. Its etymology in Sanskrit, which was used by the Mitanni, is ""Vasukhani"", वसुखानी, the ""mine of wealth"" as the Vasu are the gods who are wealth-givers.The city is known to have been sacked by the Hittites under Suppiluliuma I (reigned c. 1344–1322 BCE) in the first years of his reign, whose treaty inscription relates that he installed a Hurrian vassal king, Shattiwaza. The city was sacked again by the Assyrian king Adad-nirari I around 1290 BCE, but very little else is known of its history."
Q1070800,ali sami yen stadı,"Ali Sami Yen Stadium (Turkish: Ali Sami Yen Stadyumu) was the home of the football club Galatasaray S.K. in Istanbul, Turkey, from 1964 to 2010. It is named after the founder of the club, Ali Sami Yen. The stadium had a capacity of 23,477 (all-seater) and was situated in the Mecidiyeköy quarter of the Şişli district, at the center of the European side of the city."
Q10759109,"eskihamur, besiri","Eskihamur is a village in the District of Beşiri, Batman Province, Turkey. In 2011 its population stood at 713 people. As of 2017 it had an estimated 753 people living there."
Q10759136,"eskişehir, tarsus","Eskişehir is a village in Tarsus district of Mersin Province, Turkey. It is situated in Çukurova (Cilicia of the antiquity). It is about 10 kilometres (6.2 mi) to Tarsus and 37 kilometres (23 mi) to Mersin. The population of village is 131 as of 2012. The main crop of the village is grapes."
Q1075978,rasim başak,"Rasim Başak (born 17 February 1980 in Azerbaijan SSR, Soviet Union) is retired Azerbaijani-Turkish professional basketball player. The power forward is 2.02 m tall and 100 kg weight and wears numbers 8. He has Russian mother and Azeri father but also has Turkish citizenship and he already played several times for the Turkish national team. He will play for Azerbaijan national basketball team after TBF's permit."
Q1076448,turkish football league system,"The Turkish football system is divided into the following leagues.Promotion and relegation can occur through every league. This means a club in the Turkish Regional Amateur League may be promoted to the top flight Süper Lig. There are two stages to being promoted to the Turkish Third League. First, provinces who do not have professional clubs send a club or clubs to play. These provinces are:2 clubs — Düzce, Edirne, Kırklareli, Nevşehir1 club — Ağrı, Amasya, Ardahan, Bartın, Bayburt, Bingöl, Bitlis, Hakkari, Muş, Niğde, Sinop, TunceliThe two clubs who finished first and second gain promotion. In the second stage, the rest of the amateur clubs join in and play against each other. These provinces are:12 clubs each from Istanbul6 clubs each from Izmir5 clubs each from Ankara, Balıkesir, Bursa, Kocaeli, Manisa4 clubs each from Aydın, Kütahya, Sakarya3 clubs each from Adana, Afyon, Antalya, Denizli, Eskişehir, Hatay, Kayseri, Konya, Mersin, Tekirdağ, Trabzon, Zonguldak2 clubs each from Bilecik, Çanakkale, Diyarbakır, Elazığ, Erzurum, Giresun, Isparta, Kahramanmaraş, Malatya, Muğla, Ordu, Rize, Samsun, Sivas, Şanlıurfa, Uşak, Van, Yalova1 club each from Adıyaman, Aksaray, Artvin, Batman, Bolu, Burdur, Çankırı, Çorum, Erzincan, Gümüşhane, Iğdır, Karabük, Karaman, Kars, Kastamonu, Kırıkkale, Kırşehir, Kilis, Mardin, Osmaniye, Siirt, Şırnak, Tokat, YozgatThe club who finishes first gains promotion to the Turkish TFF Third League."
Q10765983,"Haskızılören, Serik","Haskızılören, Serik is a village in the District of Serik, Antalya Province, Turkey."
Q10777982,"katrancı, eskil","Katrancı is a village in the District of Eskil, Aksaray Province, Turkey."
